"zcta","county","city","state","business_name","business_type","num_employees","years_in_operation","dataset"
"51663","11019","Everwood Springs","PA","Business 3203","Gas Station",65,7,"NETS"
"51663","11019","Everwood Springs","PA","Business 774","Restaurant",86,15,"NETS"
"51663","11019","Everwood Springs","PA","Business 1128","Pharmacy",76,5,"NETS"
"51663","11019","Everwood Springs","PA","Business 8911","Hardware Store",24,6,"NETS"
"51663","11019","Everwood Springs","PA","Business 1873","Grocery Store",57,29,"NETS"
"51663","11019","Everwood Springs","PA","Business 5087","Gas Station",86,11,"NETS"
"51663","11019","Everwood Springs","PA","Business 20","Grocery Store",78,13,"NETS"
"57870","11159",,"PA","Business 9315","Pharmacy",98,6,"NETS"
"57870","11159",,"PA","Business 5495","Grocery Store",39,13,"NETS"
"57870","11159",,"PA","Business 1936","Restaurant",56,26,"NETS"
"02986","11684","Liberty Meadows","PA","Business 1885","Grocery Store",52,24,"NETS"
"02986","11684","Liberty Meadows","PA","Business 8773","Grocery Store",27,6,"NETS"
"02986","11684","Liberty Meadows","PA","Business 3934","Hardware Store",45,19,"NETS"
"02986","11684","Liberty Meadows","PA","Business 8988","Grocery Store",10,14,"NETS"
"02986","11684","Liberty Meadows","PA","Business 5565","Pharmacy",55,10,"NETS"
"02986","11684","Liberty Meadows","PA","Business 6165","Hardware Store",33,17,"NETS"
"29925","11494",,"PA","Business 4192","Restaurant",93,5,"NETS"
"29925","11494",,"PA","Business 2175","Gas Station",81,7,"NETS"
"95246","11121",,"PA","Business 6282","Pharmacy",6,13,"NETS"
"95246","11121",,"PA","Business 8980","Electronics Store",75,9,"NETS"
"95246","11121",,"PA","Business 7337","Hardware Store",19,11,"NETS"
"68293","11621","Silverstone Ridge","PA","Business 4399","Restaurant",14,4,"NETS"
"68293","11621","Silverstone Ridge","PA","Business 8476","Restaurant",69,7,"NETS"
"68293","11621","Silverstone Ridge","PA","Business 8274","Hardware Store",87,22,"NETS"
"68293","11621","Silverstone Ridge","PA","Business 7781","Grocery Store",2,21,"NETS"
"68293","11621","Silverstone Ridge","PA","Business 5364","Grocery Store",87,29,"NETS"
"68293","11621","Silverstone Ridge","PA","Business 9363","Clothing Store",43,7,"NETS"
"68293","11621","Silverstone Ridge","PA","Business 2959","Grocery Store",32,12,"NETS"
"68293","11621","Silverstone Ridge","PA","Business 2136","Restaurant",82,8,"NETS"
"68293","11621","Silverstone Ridge","PA","Business 6370","Clothing Store",41,30,"NETS"
"62555","11966",,"PA","Business 4405","Clothing Store",5,30,"NETS"
"62555","11966",,"PA","Business 9940","Gas Station",92,3,"NETS"
